"Priority","CanonicalTitle","AuthorPublicName","AuthorInternalName","CanonicalProjectTitleID","CanonicalIntakeLineage","RawRecordCount","DuplicateNonauthoritativeRows","LifecycleContext","CurrentBusinessStage","CurrentEditorialStage","CurrentProductionStage","LatestTrustworthySourceManuscript","LatestTrustworthyWorkingArtifact","LatestAuthorApprovedArtifact","SourceRecoveryState","CurrentAuthorGate","AuthorReviewState","LastAuthorResponse","LastExternalCommunication","LastHumanPromise","WaitingOwner","WaitingOwnerEvidence","DaysWaiting","CurrentBlocker","NextGovernedAction","ImmediateManualRecoveryAction","AutomationMode","DoNotDo","ReleaseRisk","WorkspaceRequiredNow","Provisioned","ActivationSent","Activated","CTASent","CTAFunctional","WorkspaceCTAMismatch","RecordClassificationSummary","FounderVerifiedEvidence","DataverseConflict","ReplacementPackageCertified","ReplacementSent","NewReviewClock","SourceEvidenceForRecovery"
"P4","Your Peace is a Priority: A Devotional Journal","","","5837c9d0-c37a-f111-ab0f-6045bdd69678","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","The Journey: The Inspiration and Message Behind the Music","","","0d6386cf-c37a-f111-ab0f-000d3a14673b","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","todays's new title","","","b2838072-e23d-f111-88b5-7c1e525b15c2","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","The Great Hair Restart: The Journal","","","0a6386cf-c37a-f111-ab0f-000d3a14673b","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart","","","ab2156cd-c37a-f111-ab0f-00224820105b","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence","","","9a2556cd-c37a-f111-ab0f-00224820105b","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","Taylor Made: My Life, My Story","","","b27835ca-c37a-f111-ab0f-6045bdd69678","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","More Than A Village: Raising Black Men in America","","","1759fcc8-c37a-f111-ab0f-000d3a14673b","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","Speech Therapy Works!: Juliana's Story","","","a32156cd-c37a-f111-ab0f-00224820105b","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","My ABCs","","","887835ca-c37a-f111-ab0f-6045bdd69678","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
"P4","SHE: An Expose' of Her Insufficiencies","","","a97835ca-c37a-f111-ab0f-6045bdd69678","","1","0","RECONCILIATION_REQUIRED","","","","","","","SOURCE_GENUINELY_MISSING","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","Manual Hold","Evidence row lacks active operating context: MISSING_ARTIFACT_LINK.","34","","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review.","MANUAL_HOLD","Do not use superseded or unbound artifacts as current.","","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE","NO_CURRENT_EVIDENCE","NO_EVIDENCE","CANONICAL_CURRENT","","","","","",""
